Title,City,Salary,EmploymentType,JobURL,Company,Posted_date,RemoteStatus,JobID,Current_Date_Time
TRIBAL INTERN - Data Analyst,Phoenix,$20 / hr,Contractor,"https://www.ziprecruiter.com/c/Central-Arizona-Project/Job/TRIBAL-INTERN-Data-Analyst/-in-Phoenix,AZ?jid=d9df4b57a4a7474f",Central Arizona Project,2023-12-18T00:00:00Z,remote,d9df4b57a4a7474f,2024-01-30T23:26:31Z
IT DATA ANALYST,Iselin,$18 - $20 / hr,Contractor,"https://www.ziprecruiter.com/c/Pyramid-Consulting/Job/IT-DATA-ANALYST/-in-Iselin,NJ?jid=ceecb21f79464706",Pyramid Consulting,2023-07-10T07:00:00Z,,ceecb21f79464706,2024-01-30T23:26:31Z
Data Analyst,Minneapolis,$50 / hr,Contractor,"https://www.ziprecruiter.com/c/EA-Team-Inc./Job/Data-Analyst/-in-Minneapolis,MN?jid=68cd85c8f61828a7",EA Team Inc.,2018-12-19T08:00:00Z,,68cd85c8f61828a7,2024-01-30T23:26:31Z
"Analyst 1, Cust Contract Admin",San Diego,$26 / hr,Contractor,"https://www.ziprecruiter.com/c/TechDigital-Corporation/Job/Analyst-1,-Cust-Contract-Admin/-in-San-Diego,CA?jid=5f383cacf1f17f3f",TechDigital Corporation,2024-01-04T22:34:39Z,,5f383cacf1f17f3f,2024-01-30T23:26:31Z
Compliance Analyst (eCommerce) - Hybrid,San Jose,$35 - $41.52 / hr,Contractor,"https://www.ziprecruiter.com/c/Intelliswift-Software-Inc/Job/Compliance-Analyst-(eCommerce)-Hybrid/-in-San-Jose,CA?jid=0afa3d6c25e4f3ab",Intelliswift Software Inc,2024-01-10T10:20:17Z,,0afa3d6c25e4f3ab,2024-01-30T23:26:31Z
Real World Evidence (RWE) - Data Analyst,Remote,$0 / ,Contractor,"https://www.ziprecruiter.com/c/Alpha-Consulting-Corp./Job/Real-World-Evidence-(RWE)-Data-Analyst/-in-Remote,OR?jid=48b94654857cd8b5",Alpha Consulting Corp.,2023-10-25T11:46:03Z,remote,48b94654857cd8b5,2024-01-30T23:26:31Z
Data Analyst,Carolina,$0 / ,Contractor,"https://www.ziprecruiter.com/c/eTeam-Inc/Job/Data-Analyst/-in-Carolina,NC?jid=78b879dd324c5479",eTeam Inc,2022-07-01T07:00:00Z,,78b879dd324c5479,2024-01-30T23:26:31Z
Data Analyst IV,Cupertino,$61 - $66 / hr,Contractor,"https://www.ziprecruiter.com/c/MindSource/Job/Data-Analyst-IV/-in-Cupertino,CA?jid=bd445b724c7a0ffb",MindSource,2024-01-22T08:00:00Z,,bd445b724c7a0ffb,2024-01-30T23:26:31Z
Senior Project Analyst,Newport Beach,$45 - $55 / hr,Contractor,"https://www.ziprecruiter.com/c/Peregrine-Team/Job/Senior-Project-Analyst/-in-Newport-Beach,CA?jid=696046f07b3f513b",Peregrine Team,2024-01-12T04:08:22Z,,696046f07b3f513b,2024-01-30T23:26:31Z
Data Analyst/SR (29689),Phoenix,$0 / ,Contractor,"https://www.ziprecruiter.com/c/IDEALFORCE-LLC/Job/Data-Analyst-SR-(29689)/-in-Phoenix,AZ?jid=345df3be7374aaa3",IDEALFORCE LLC,2014-07-25T07:00:00Z,,345df3be7374aaa3,2024-01-30T23:26:31Z
Digital eCommerce Analyst,Calabasas,$30 / hr,Contractor,"https://www.ziprecruiter.com/c/Adecco/Job/Digital-eCommerce-Analyst/-in-Calabasas,CA?jid=2a13145ded493872",Adecco,2024-01-05T00:28:47Z,,2a13145ded493872,2024-01-30T23:26:31Z
Business Intelligence Analyst,San Francisco,$75 / hr,Contractor,"https://www.ziprecruiter.com/c/Estrada-Consulting-Incorporated/Job/Business-Intelligence-Analyst/-in-San-Francisco,CA?jid=0008e628e95ca8b5",Estrada Consulting Incorporated,2024-01-22T21:58:38Z,,0008e628e95ca8b5,2024-01-30T23:26:31Z
